I,J,K
1194,5681,1488
49,949,3380
4482,4485,409
4048,306,2286
2579,2578,2980
1894,1032,3453
4605,1584,2738
559,917,1484
857,1105,1053
4257,3959,2892
1673,2301,145
2618,2991,130
4195,2128,4403
2806,683,1700
1838,900,1170
3788,1414,1419
2430,2837,2183
3305,2612,2571
4908,4682,3068
4895,2901,4908
3890,697,3207
559,1484,2582
109,3267,1047
1345,1257,1021
4555,1093,1840
270,2753,2689
1508,522,3685
759,612,1405
1044,2767,4128
4895,1287,2901
4475,4477,1171
1428,3588,353
1717,2764,2364
2285,1161,133
296,3773,837
3545,1891,3786
916,3327,161
3524,310,1335
4282,917,1787
333,3403,2582
763,1737,3706
1640,2184,266
4238,3497,4356
3086,3813,2789
2006,343,3464
1208,3390,3557
4512,4540,4541
1319,1335,2069
4784,4964,4965
1934,4443,4446
290,536,655
1737,763,1462
5374,3514,4289
2370,2658,2916
4752,4968,3560
2180,1093,4445
1301,448,3674
3679,2992,2833
4097,1153,508
5007,1301,829
21,4885,4420
525,1581,1335
3482,4117,2892
4558,2795,4590
1192,3845,1795
153,1014,4040
1392,1785,1787
3568,1126,4922
2137,2658,307
306,4048,2574
4291,4048,5331
960,469,3464
2251,1721,3758
3196,2583,4045
1555,873,3785
1591,597,188
545,1966,423
1969,1500,4369
2414,1867,481
4397,4399,2582
3521,3706,4171
3560,3706,3521
3521,1926,3560
695,937,1193
2553,3960,3360
2055,2627,2155
3562,271,1929
1572,753,3797
4257,4117,4752
3728,4256,912
1636,2502,2008
3179,2255,1981
1453,1981,2255
697,4089,1550
685,243,4969
3265,925,3316
2054,3327,3259
136,5220,4990
1737,2474,4454
1603,2136,250
3642,2016,4690
2370,3148,1926
1092,3293,3694
3854,1778,2937
2231,1533,3262
4257,2892,4117
3044,1917,3800
2736,1158,998
1655,94,4952
2345,796,2516
1984,3880,1736
3633,3977,239
3786,3000,3064
4479,4476,2437
4372,4364,4368
2749,409,4496
1728,3864,4734
2043,488,3951
3876,4457,4455
226,1659,4398
612,1074,2097
4643,3585,2102
162,727,3403
2142,3657,4777
2037,359,2983
4406,2278,1590
5003,4986,5002
5003,5011,4986
4115,181,737
2537,616,4074
36,4395,1095
3164,742,536
876,3749,4258
2380,3241,1689
5010,6564,5345
4807,3263,1044
2864,3653,3101
2099,2607,3328
3290,1074,762
672,3121,214
3359,2040,5659
1356,2160,1190
916,3259,3327
3603,1313,2636
1844,1706,603
1853,1259,3151
396,3568,1324
1301,223,448
2487,2406,2519
4225,2806,2140
1017,311,3048
4952,94,1850
3960,125,1046
3263,2097,2958
4807,2097,3263
1015,5703,2953
773,5401,1293
152,1796,3379
1838,575,2734
656,3885,243
2202,3507,4479
3876,1165,2246
2347,122,2054
2176,2305,2465
2947,3391,2670
568,2914,5072
1177,4222,291
4038,574,3797
62,3934,1815
4404,2974,814
3182,2803,3408
1558,538,1418
2053,437,3183
2038,2039,3709
2144,1953,1294
1196,4018,1035
3880,2359,1070
5566,5824,4963
574,3597,4000
1812,4246,4008
1313,4399,2636
1761,458,3520
109,4071,1890
756,4228,1679
1504,4760,3585
4516,2148,2630
1324,1748,396
2910,3898,3901
